query,var-to-lab-mapping,lab-cards-in-TP,ProjVars,QueryVars,LonelyNonResultLabels,No.TPs,TP-sizes,QueryRuntime
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/liping-wang> ?property ?value },value:a property:b,a:10.00; b:7.00;,b a,a b,,1,12,38810
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/linkedin> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/linkedin> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:9.00;,b a c,a b c,,2,1 11,94997
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-california-berkeley> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-california-berkeley> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:34.00;,b a c,a b c,,2,1 40,88452
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2004/poster-proceedings/paper-29/author_list> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,17085
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/florida-institute-for-human-and-machine-cognition> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/florida-institute-for-human-and-machine-cognition> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:7.00;,b a c,a b c,,2,1 8,88458
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/ibm-zurich-research-laboratory> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/ibm-zurich-research-laboratory> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,85550
SELECT  ?property ?value  WHERE    { <http://www.eswc2007.org/pdf/eswc07-schreoter.pdf> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,20349
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/best-buy> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/best-buy> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,92853
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/andrea-rodriguez> ?property ?value },value:a property:b,a:8.00; b:9.00;,b a,a b,,1,9,17035
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/pierre-nugues> ?property ?value },value:a property:b,a:6.00; b:6.00;,b a,a b,,1,7,16977
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/paypal> ?property ?value },value:a property:b,a:3.00; b:4.00;,b a,a b,,1,4,16862
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-amsterdam> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-amsterdam> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:14.00;,b a c,a b c,,2,1 15,88910
