QueryVars,ProjVars,JoinVars,LonelyNonResultVars,min_cardinality_of_var_in_TP,No.TPs,TP_sizes,QueryRuntime
"['b', 'f', 'q', 's', 'u', 'g', 'a', 'k', 'h', 'i', 'p', 'm', 'j', 'n']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[45, 33, 61, 54, 93, 33, 81, 58, 13, 36, 10, 22, 10, 37]",9,"[25, 12, 36, 33, 68, 62, 11, 6, 48]",5.533757677225468
"['x', 'n', 'g', 'b', 'q', 'v', 'a', 'h', 'e', 'm', 'r', 'k', 's', 'f']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1]","[37, 10, 54, 99, 21, 2, 47, 70, 70, 67, 90, 44, 74, 58]",6,"[64, 31, 100, 96, 63, 96]",8.54454711566203
"['q', 'c', 'k', 'r', 'y', 'a', 'e', 'u', 'f', 'v', 'l', 't', 'n', 'm', 'x', 'b', 'g', 'j', 'p', 'd', 'h', 'i', 's']","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1]","[54, 91, 14, 60, 32, 16, 23, 44, 6, 73, 89, 74, 44, 18, 14, 34, 23, 5, 1, 94, 27, 77, 50]",9,"[98, 2, 90, 59, 96, 90, 28, 64, 69]",1.958727869747831
"['x', 'm', 'f', 'k', 'v', 'p', 'i', 's', 'h', 'g', 'y']","[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1]","[53, 19, 99, 98, 69, 59, 57, 100, 51, 62, 20]",6,"[7, 76, 44, 67, 36, 35]",7.676157455952469
"['i', 'e', 'x', 'k', 'h', 'c', 'p', 'j', 'r', 'n', 'm', 'w', 'g', 'l', 'f', 'u', 'q', 'o', 't', 'd', 'a']","[1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1]","[89, 16, 79, 19, 48, 99, 69, 83, 72, 48, 87, 29, 20, 73, 27, 97, 9, 93, 25, 57, 31]",10,"[13, 44, 12, 64, 73, 73, 93, 90, 88, 47]",1.5568861203426563
"['w', 'd', 'k', 't', 'e', 'p', 'i', 'o', 'q', 'v', 'l', 'a', 'n', 'u', 'j', 'x', 'h', 'b', 'g', 's', 'c', 'r', 'y', 'f']","[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0]","[71, 52, 12, 31, 46, 68, 87, 50, 4, 26, 4, 54, 64, 55, 64, 45, 44, 84, 10, 90, 26, 55, 20, 77]",1,[73],7.68269272930594
"['a', 'g', 'd']","[0, 1, 0]","[1, 1, 0]","[0, 1, 0]","[80, 99, 100]",5,"[71, 95, 3, 2, 91]",7.757986703570485
"['w', 'e', 'i', 'j', 'c', 'y', 'f', 's', 'a', 'o', 'n', 'r', 'm', 'k', 'p', 'g', 't', 'b', 'd', 'u', 'x', 'v', 'l', 'h', 'q']","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]","[28, 81, 3, 33, 1, 44, 35, 12, 25, 10, 11, 7, 72, 6, 72, 53, 6, 22, 62, 43, 6, 33, 5, 39, 82]",4,"[4, 58, 93, 35]",2.9574425032315568
"['o', 'm', 'i', 'd']","[1, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 1, 0]","[39, 18, 99, 66]",8,"[60, 94, 54, 30, 34, 96, 33, 40]",4.932506856104682
"['k', 'v', 'i', 'f']","[1, 1, 0, 1]","[1, 0, 0, 0]","[0, 1, 0, 1]","[98, 64, 34, 57]",3,"[80, 20, 47]",6.971457934516018
"['t', 'g', 'f', 'n', 'i', 'j', 'y', 'h', 'l', 'w', 'd', 'k', 'o', 'e', 'u', 'p', 's', 'q', 'r', 'c', 'x', 'b']","[1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1]","[12, 60, 96, 11, 18, 71, 48, 59, 90, 55, 26, 50, 54, 68, 93, 11, 47, 17, 74, 1, 50, 36]",7,"[29, 84, 94, 79, 65, 62, 10]",0.3534829795221578
